"id","betweennessG","indegreeG","outdegreeG","totaldegreeG","inclosenessG","outclosenessG","totalclosenessG","com_mod"
"Ollimpo10",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"Hashi88",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"alexreynadice",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"ESTERNOCLOPODO",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ERICK1310",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"shocker1973",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"norasalinasale",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"geraldined0103",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"superaguilas010",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Ballesteros92",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"LauraAGC",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ROMM750515",0,0,8,8,6.77409632874178e-10,6.77638908227386e-10,6.77638908227386e-10,5
"pacoramirez_a",0,0,4,4,6.77409632874178e-10,6.77515433127439e-10,6.77515433127439e-10,5
"BallisDuke",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Diegot725",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"RobertoSanRam",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"btoskate",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"McAngel_Oficial",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"soyLuisAlbertoL",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"jabadesign",0,0,4,4,6.77409632874178e-10,6.77480163316458e-10,6.77480163316458e-10,5
"interyane",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"typhoon_u2",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Archacas",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Marioaldoc",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"bercp",0,0,6,6,6.77409632874178e-10,6.77515434045493e-10,6.77515434045493e-10,25
"MarianaNiembro_",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"JavierCisner0s",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"elboss14",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Miraannd",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"conquirolux",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Mariannar_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"karlozzx",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,16
"wisrizo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"JM_Hipnopio_86",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"AzaelRamos",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gpulidog",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"SilviaAnasasi",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"selemoreh",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"AdriJK",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MEAVE75",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gangsterdan",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"anaKareneri",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"HectorHT",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"chavezpao",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"johnkiller66",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"toluki",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"rulassio",0,0,7,7,6.77409632874178e-10,6.77533070787236e-10,6.77533070787236e-10,5
"yusefleon",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"merytortiz",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sophlov",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"AkireAkuma",0,0,5,5,6.77409632874178e-10,6.77568345189134e-10,6.77568345189134e-10,5
"RafaSebas",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"QuieroJenny",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"CristianBuenH",0,0,3,3,6.77409632874178e-10,6.77515431750357e-10,6.77515431750357e-10,5
"JannTorres",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,19
"TaeminsAegyo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"TheStigReloaded",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MarkoEstradaS",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,26
"Joltick",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"14lauri",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Xiuhcoatecutli",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"Kannodai",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"ROSCALOP",0,0,2,2,6.77409632874178e-10,6.77462528870066e-10,6.77462528870066e-10,26
"chikitiwuau",0,0,6,6,6.77409632874178e-10,6.77550707529074e-10,6.77550707529074e-10,16
"RodoCorrea",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Arthattum",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"clunamx",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,14
"CarlitosMtzM",0,0,3,3,6.77409632874178e-10,6.77480162857478e-10,6.77480162857478e-10,5
"expreciones",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,17
"_InfraRed_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"meru_11",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MontseOlivos",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"vanySeg",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"chuckiscariote",0,0,5,5,6.77409632874178e-10,6.77515433586466e-10,6.77515433586466e-10,5
"VillanuevaGer",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"elfavoritodegod",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"thelittlejesus",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"l2odrig0",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"raul_abrego",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"JustModest",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
